标题,作者,摘要,关键词
基于一维卷积特征与手工特征融合的集成超限学习机心跳分类方法,"许越凡,肖文栋,曹征涛",融合手工特征和深度特征，提出了一种集成超限学习机心跳分类方法。手工提取的特征明确地表征了心电信号的特定特性，如相邻心跳时间间隔反映了心跳信号的时域特性，小波系数反映了心跳信号的时频特性。同时设计了一维卷积神经网络对心跳信号特征进行自动提取。基于超限学习机（Extreme leaning machine，ELM），将上述特征融合进行心跳分类。由于ELM初始参数的随机给定可能导致其性能不稳定，进一步提出了一种基于袋装（Bagging）策略的多个ELM集成方法，使分类结果更加稳定且模型泛化能力更强。利用麻省理工心律失常公开数据集对所提方法进行了验证，分类准确率达到了99.02%，实验结果也表明基于融合特征的分类准确率高于基于单独特征的分类准确率。,"心跳分类,特征融合,一维卷积神经网络,小波变换,集成超限学习机"
面向少样本的知识与数据的跨模态特征融合模型,"柒传江,王成猛,邵立珍,付冬梅,周珂,赵志毅",在少样本学习中，纯数据驱动式学习容易出现过拟合和泛化能力下降等问题，而知识与数据的融合不足也会导致模型性能受限. 因此，本文针对少样本学习问题，提出了一种深度跨模态特征融合模型（KDFM）以融合领域知识和结构化数据特征，进而提升下游任务的性能. KDFM采用多特征交互框架：首先，基于知识图谱建模领域中用语义表达的知识的模态，利用TransE算法提取知识节点的嵌入表示；其次，将结构化的数据模态映射为图网络，通过多通道图卷积网络捕捉特征间的高阶关联；最后，设计注意力机制动态对齐知识嵌入与数据特征，实现跨模态信息的自适应融合. 本文将所提模型分别在材料回归和医学分类两个少样本数据集上进行了验证. 相比其他纯数据驱动的模型，所提模型在各项回归和分类任务上均取得了较好的结果. 消融实验结果表明了所提模型的知识建模部分和跨模态融合部分的有效性. 这也说明KDFM通过多特征协同建模与高效融合策略，在一定程度上解决了少样本下模型泛化能力弱，知识与数据模态融合困难的问题.,"少样本,混合驱动,知识图谱,图卷积网络,特征融合"
基于机器学习的煤层气产能标定智能算法及影响因素分析,"宋洪庆,都书一,杨焦生,王玫珠,赵洋,张继东,朱经纬",煤层气是我国常规天然气现实可靠的战略补充资源之一，智能化标定煤层气产能对于天然气工业的发展具有重要意义. 对山西沁水盆地某煤层气区块的煤层气井进行了实际地质、生产数据的收集及数据预处理，提出了基于生产井史的煤层气单井产能计算公式. 利用预处理后的生产数据及储层数据，建立了基于深度神经网络、支持向量回归机、随机森林的煤层气产能标定智能算法，对煤层气单井产能进行了预测，比较了三种机器学习模型的预测结果，分析了不同排采天数的生产数据作为输入参数对模型精度的影响. 基于预测效果最好的机器学习模型，进行了动态参数（排采前期的日产气、日产水和井底流压）和静态参数（煤层埋深、孔隙度、渗透率、煤层厚度和含气量）对煤层气产能标定模型的重要性程度分析. 结果表明：三种机器学习模型标定煤层气单井产能的平均决定系数为0.828，其中深度神经网络模型决定系数最高，达0.923；增加生产数据前期排采天数，决定系数增长趋势明显，之后增长趋势减缓并最终趋于平稳；动态参数和静态参数对产能的影响都较强，这两类参数对于产能预测模型的贡献度分别为48%和52%.,"煤层气,沁水盆地,单井产能,智能算法,机器学习"
神经形态硬件驱动的环境交互人工智能,"张涛,李子昂,陈吉堃,张海天",在过去的几十年里，人工智能（AI）技术迅速发展. 从完成简单任务的自动化设备到具有一定学习能力的智能机器人，AI正以前所未有的速度改变着世界. 但真正的智能不仅仅在于高效处理大量数据和执行预设任务，更在于与环境的深度互动和自适应决策等能力. 这就要求AI系统突破现有模式的多重限制，例如离散符号处理与物理世界连续性之间的根本矛盾，固定特征空间与开放环境无限可能性的相互冲突，以及静态部署方式与动态演化需求的彼此割裂等问题，最终实现自主感知周围环境，主动适应环境变化并完成独立学习和决策，摆脱对人工干预高度的依赖. 本文针对AI与环境的交互技术进行简要综述，讨论当前的进展并展望未来AI系统在环境互动中的创新和应用，以及相应电子材料的发展和未来挑战.,"人工智能,环境交互,硬件自适应,神经形态器件,神经网络"
图模型在分子信息学中的研究综述与展望,"戴嘉欣,付冬梅,张达威,马菱薇",分子信息学作为化学与人工智能交叉融合的前沿领域，正迅速推动药物设计与功能材料开发等领域的技术革新. 分子表示学习作为其核心基础，通过将分子结构编码成保留其拓扑与理化性质的数值向量，为分子性质预测和分子生成等下游任务提供高效特征表示. 相比基于规则和基于字符序列的表征，图模型能够充分利用分子天然的图结构（原子为节点、化学键为边），能够精准捕捉分子拓扑信息和复杂相互作用，现已成为该领域的主流技术. 本文系统综述了图模型在分子信息学中的最新研究进展和应用. 首先详细梳理了分子表征方法的发展历程，阐述图模型的基本概念和独特优势. 其次，围绕分子性质预测和分子生成两大核心任务，系统梳理了常用数据集、评价指标以及各类图判别和图生成模型的特点与研究现状. 同时，结合材料性能预测与晶体生成任务，探讨了不同深度图模型在实际应用中的优缺点、适用场景以及技术挑战. 最后，探讨了大规模预训练、可解释性方法和多模态学习等新兴趋势在分子信息学中的应用潜力，并展望了未来研究方向. 本综述旨在为化学领域研究者快速定位前沿技术与适用方法，同时为人工智能领域研究者梳理技术路线，以推动更高效的算法设计及其在分子信息学中的落地应用.,"图模型,分子信息学,分子性质预测,分子生成,分子表示学习"
弱光照条件下交通标志检测与识别,"赵坤,刘立,孟宇,孙若灿",针对弱光照条件下交通标志易发生漏检和定位不准的问题，本文提出了增强YOLOv3（You only look once）检测算法，一种实时自适应图像增强与优化YOLOv3网络结合的交通标志检测与识别方法。首先构建了大型复杂光照中国交通标志数据集；然后针对复杂的弱光照图像提出自适应增强算法，通过调整图像亮度和对比度强化交通标志与背景之间的差异；最后采用YOLOv3网络框架检测交通标志。为了降低先验锚点框设置精度以及图像中背景与前景比例严重失衡对检测精度造成的影响，优化了先验锚点框聚类算法和网络的损失函数。对比实验结果表明，在实时性大致相当的情况下，本文提出的增强YOLOv3检测算法较标准YOLOv3算法对交通标志有更高的回归精度和置信度，召回率和准确率分别提高0.96%和0.48%。,"交通标志检测,弱光照,自适应图像增强,YOLOv3,深度学习"
基于TATLNet的输电场景威胁检测,"李梅,郭飞,张立中,王波,张俊岭,李兆桐",在输电场景中，吊车等大型机械的运作会威胁到输电线路的安全。针对此问题，从训练数据、网络结构和算法超参数的角度进行研究，设计了一种新的端到端的输电线路威胁检测网络结构TATLNet，其中包括可疑区域生成网络VRGNet和威胁判别网络VTCNet，VRGNet与VTCNet共享部分卷积网络以实现特征共享，并利用模型压缩的方式压缩模型体积，提升检测效率，从计算机视觉和系统工程的角度对入侵输电场景的大型机械进行精确预警。针对训练数据偏少的问题，利用多种数据增强技术相结合的方式对数据集进行扩充。通过充分的试验对本方法的多个超参数进行探究，综合检测准确率和推理速度来研究其最优配置。研究结果表明，随着网格数目的增加，准确率也随之增加，而召回率有先增加后降低的趋势，检测效率则随着网格的增加迅速降低。综合检测准确率与推理速度，确定9×9为最优网格划分方案；随着输入图像尺寸的增加，检测准确率稳步上升而检测效率逐渐下降，综合检测准确率和效率，选择480×480像素作为最终的图像输入尺寸。输入实验以及现场部署表明，相对于其他的轻量级目标检测算法，该方法对输电现场入侵的吊车等大型机械的检测具有更优秀的准确性和效率，满足实际应用的需要。,"深度学习,威胁检测,特征共享,输电场景,轻量级神经网络"
基于DL-T及迁移学习的语音识别研究,"张威,刘晨,费鸿博,李巍,俞经虎,曹毅",为解决RNN–T语音识别时预测错误率高、收敛速度慢的问题，本文提出了一种基于DL–T的声学建模方法。首先介绍了RNN–T声学模型；其次结合DenseNet与LSTM网络提出了一种新的声学建模方法— —DL–T，该方法可提取原始语音的高维信息从而加强特征信息重用、减轻梯度问题便于深层信息传递，使其兼具预测错误率低及收敛速度快的优点；然后，为进一步提高声学模型的准确率，提出了一种适合DL–T的迁移学习方法；最后为验证上述方法，采用DL–T声学模型，基于Aishell–1数据集开展了语音识别研究。研究结果表明：DL–T相较于RNN–T预测错误率相对降低了12.52%，模型最终错误率可达10.34%。因此，DL–T可显著改善RNN–T的预测错误率和收敛速度。,"深度学习,语音识别,声学模型,DL–T,迁移学习"
一种基于卷积神经网络的CSI指纹室内定位方法,"刘帅,王旭东,吴楠",针对提高Wi-Fi指纹室内定位技术性能，提出了一种基于卷积神经网络（Convolutional neural networks，CNN）的信道状态信息（Channel state information，CSI）指纹室内定位方法。在离线阶段联合定位环境参考点的幅度差和相位差信息，利用CNN进行训练，保存训练后的CNN网络模型作为指纹；在线阶段，针对不同实验场景，对测试数据的幅度差信息和相位差信息进行加权处理，引入改进的基于概率的指纹匹配算法，利用待定位点的CSI信息并通过CNN网络模型预测待定位点的坐标。此外，为增强算法普适性，针对复杂室内场景，提出了双节点定位方案来提高定位精度。在廊厅和实验室室内两种不同定位场景进行了实验，信息联合定位算法分别获得了24.7 cm和48.1 cm的平均定位误差，验证了基于CNN的CSI幅度差和相位差联合定位算法的有效性。,"室内定位,指纹定位,信道状态信息,深度学习,卷积神经网络"
基于切面识别的房间隔缺损智能辅助诊断,"张文静,李文秀,刘爱军,武兴坤,李剑峰,罗涛",针对超声心动图像质量差、噪声多，传统卷积神经网络架构对超声心动图像的学习能力有限、表达不充分的缺点，提出了一种基于标准切面识别的房间隔缺损（Atrial septal defect，ASD）智能辅助诊断模型。该模型通过对超声心动图像进行切面识别，充分融合其不同切面的语义特征，使得诊断的准确率得到明显提升。此外，还对其进行双边滤波保边去噪，并基于此模型搭建房间隔缺损智能辅助诊断系统（简称ASD辅助诊断系统）。结果表明，该ASD辅助诊断系统的准确率高达97.8%，且与传统卷积神经网络相比大大降低了假阴性率。,"深度学习,超声心动图,房间隔缺损,切面识别,双边滤波"
基于SE-DR-Res2Block的声纹识别方法,"李平,高清源,夏宇,张小勇,曹毅","针对声纹识别领域中基于传统Res2Net模型特征表达能力不足、泛化能力不强的问题，提出了一种结合稠密连接与残差连接的特征提取模块SE-DR-Res2Block(Sequeeze and excitation with dense and residual connected Res2Block). 首先，介绍了应用传统Res2Block的ECAPA-TDNN(Emphasized channel attention, propagation and aggregation in time delay neural network)网络结构和稠密连接及其工作原理；然后，为实现更高效的特征提取，采用稠密连接进一步实现特征的充分挖掘，基于SE-Block(Squeeze and excitation block)将残差连接和稠密连接相结合，提出了一种更高效的特征提取模块SE-DR-Res2Net. 该模块以一种更细粒化的方式获得不同生长速率和多种感受野的组合，从而获取多尺度的特征表达组合并最大限度上实现特征重用，以实现对不同层特征的信息进行有效提取，获取更多尺度的特征信息；最后，为验证该模块的有效性，基于不同网络模型采用SE-Res2Block(Sequeeze and excitation Res2Block)、FULL-SE-Res2Block(Fully connected sequeeze and excitation Res2Block)、SE-DR-Res2Block、FULL-SE-DR-Res2Block(Fully connected sequeeze and excitation with dense and residual connected Res2Block)，分别在Voxceleb1和SITW(Speakers in the wild)数据集开展了声纹识别的研究. 实验结果表明，采用SE-DR-Res2Block的ECAPA-TDNN网络模型，最佳等错误率分别达到2.24%和3.65%，其验证了该模块的特征表达能力，并且在不同测试集上的结果也验证了其具有良好的泛化能力.","深度学习,声纹识别,稠密网络,残差网络,多尺度特征"
露天矿边坡裂隙智能识别与信息解算,"赵怡晴,黄晢航,刘宏发,金爱兵,陆通,刘金博",节理裂隙是影响露天矿边坡稳定性的重要因素之一，随着图像处理技术以及机器视觉技术的发展，采用智能算法进行识别已成为热点. 为快速获取节理裂隙几何信息，通过 ResNet 系列算法对 U-net 的骨架构网络进行改进，提出了一种露天矿边坡裂隙识别及几何参数解译方法. 利用无人机综合考虑视角、距离、重叠率以及飞行速度等因素对露天矿边坡裂隙航拍获取高清图像，使用全局阈值分割技术进行预处理，并运用随机旋转、随机亮度及对比度调整等方式进行数据增广形成裂隙图像数据集；采用残差网络(ResNet)对U-Net 网络的骨架构网络进行改进，提出基于改进 U-net 网络的边坡裂隙识别模型，基于像素二分类问题采用准确率(Accuracy)、交并比(IoU)和 F1分数(F1 Score)作为评价指标，结合裂隙图像数据集对提出模型进行训练和评估，输出裂隙二值图，并与传统裂隙识别方法识别结果进行对比；对裂隙二值图进行裂隙几何参数信息解算，获得裂隙长度、宽度统计分布规律和参数. 结果表明：ResNet 模型对 U-net 模型改进可以提高模型的评价指标，随着网络层数加深，评价指标有先增高，后趋于稳定的趋势，在网络层次达到 101 时评价指标达到最优，Res101-Unet 模型的 Accuracy、IoU、F1 Score 分别为 95.12%、60.13%、79.53%，对于简单和复杂裂隙的识别完整度都有提升；利用训练好的Res101-Unet模型对目标边坡上的裂隙进行识别，所得裂隙数量与现场测线方式所得结果一致，证明本模型识别结果与工程实际相符.,"露天矿山边坡,无人机,裂隙识别,深度学习,U-net,残差网络"
大语言模型研究现状与趋势,"王耀祖,李擎,戴张杰,徐越",在过去20年中，语言建模（Language models，LM）已经成为一种主要方法，用于语言理解和生成，同时作为自然语言处理（Natural language processing，NLP）领域下游的关键技术受到广泛关注. 近年来，大语言模型（Large language models，LLMs），例如ChatGPT等技术，取得了显著进展，对人工智能乃至其他领域的变革和发展产生了深远的影响. 鉴于LLMs迅猛的发展，本文首先对LLMs相关技术架构和模型规模等方面的演进历程进行了全面综述，总结了模型训练方法、优化技术以及评估手段. 随后，分析了LLMs在教育、医疗、金融、工业等领域的应用现状，同时讨论了它们的优势和局限性. 此外，还探讨了大语言模型针对社会伦理、隐私和安全等方面引发的安全性与一致性问题及技术措施. 最后，展望了大语言模型未来的研究趋势，包括模型的规模与效能、多模态处理、社会影响等方面的发展方向. 本文通过全面分析当前研究状况和未来走向，旨在为研究者提供关于大语言模型的深刻见解和启发，以推动该领域的进一步发展.,"大语言模型(LLMs),自然语言处理,深度学习,人工智能,ChatGPT"
基于多注意力的改进YOLOv5s小目标检测算法,"马鸽,李洪伟,严梓维,刘志杰,赵志甲",交通标志识别应用中待检测目标多为小目标，因其携带信息少、定位精度要求高、易被环境噪声淹没等特点成为当前交通标志检测的难点. 针对小目标交通标志漏检、误检、检测准确率低等问题，本文设计了一种用于小目标检测的STD-YOLOv5s (Small target detection YOLOv5s )模型. 首先，通过增加上采样和Prediction输出层数获得了更丰富的位置信息，解决了YOLOv5s模型在处理小目标时信息不足的问题，增强了对图像的全局理解能力；其次，在每个C3模块之后添加CA(Coordinate attention)注意力机制并在每个输出层前添加Swin-T注意力机制模块，增加了网络对多层特征信息的捕捉，提高了小目标的检测性能；最后，充分利用SIoU惩罚函数同时考虑目标形状、空间关系的特点，更好地捕捉不同尺寸的目标在图像中的位置关系，提高目标位置的精确性. 所提模型在TT100K数据集上进行了验证实验，实验结果表明本文方法不仅保持了YOLOv5s模型的轻量性和快速性，在精确率、召回率和平均精度三个指标上也有所提升，提高了小目标检测的精确性.,"小目标检测,交通标志识别,注意力机制,YOLOv5s,深度学习"
复杂天气下车载激光点云目标检测方法综述,"武雨田,李擎,孙文蔚,王恒,王巍然",随着传感器、数据处理、视觉感知、控制决策、人工智能等自动驾驶相关技术的不断发展，自动驾驶成为汽车行业未来发展的重要方向之一. 但是，以雨、雾、雪等复杂天气为典型代表的极端驾驶环境，对自动驾驶环境感知提出了严峻挑战. 随着激光雷达（Light detection and ranging，LiDAR）在汽车上得到广泛运用，基于车载激光点云的目标检测已成为自动驾驶环境感知的重要研究方向之一，但在复杂天气条件下，LiDAR探测生成的点云存在大量噪点，对目标检测的性能产生严重负面影响. 对此，本文首先归纳了点云目标检测的基本定义、任务方法和评测指标，然后分析了复杂天气对点云目标检测的影响，并从数据增强、点云去噪、域自适应以及传感器融合等四个方面，系统分析了复杂天气下基于车载激光点云的目标检测方法及其优缺点，最后探讨了当前存在的数据规模与真实性不足、模型结构复杂、数据分布不均匀、实际部署瓶颈等问题以及未来研究方向.,"激光雷达,目标检测,自动驾驶,复杂天气,深度学习"
基于多尺度融合金字塔焦点网络的接触网零部件检测,"朱新宇,崔浩锐,宋洋","作为高铁牵引供电系统的重要组成部分，接触网系统承担着向动车组传输电能的重要功能. 实际工程运营表明，受弓网交互产生的持续冲击以及外部环境的影响，接触网支撑部件可能会出现“松、脱、断、裂”等缺陷，导致接触网结构可靠性下降，严重影响接触网系统稳定运行. 因此，及时精确定位接触网支撑部件（CSCs），对保障高铁安全运行和完善接触网检修维护策略具有重大意义. 然而，CSCs的检测通常面临着零部件种类多、尺度差异大、部分零部件微小的问题. 针对以上问题，本文提出一种基于多尺度融合金字塔焦点网络的接触网零部件检测算法，将平衡模块和特征金字塔模块相结合，提高对小目标的检测性能. 首先，设计了可分离残差金字塔聚合模块（SRPAM），用于优化模型多尺度特征提取能力、扩大感受野，缓解CSCs检测的多尺度问题；其次，设计了一种基于平衡特征金字塔的路径聚合网络（PA-BFPN）,用于提升跨层特征融合效率和小目标检测性能. 最后，通过对比试验、可视化实验和消融实验证明了所提方法的有效性和优越性. 其中，所提的MFP-FCOS在CSCs数据集上的检测精度（mAP）能够在达到48.6%的同时，实现30的FLOPs (Floating point operations per second)，表明所提方法能够在检测精度和检测速度之间保持良好的平衡.","深度学习,目标检测,接触网支撑组件(CSCs),路径聚合特征金字塔(PA-FPN),空洞空间卷积池化金字塔(ASPP)"
基于U-Net架构改进VGG19模型的人脸表情识别方法,"赵小虎,张景怡,焦明之,谢礼逊,王兰飞,孙维青,张狄",针对传统面部识别技术中存在的诸多问题，如网络模型对关键通道特征的关注不足、参数量过大以及识别准确率不高等，本文提出了一种基于改进Visual Geometry Group 19（VGG19）模型的全新方案. 该方案融合了U-Net网络架构的设计理念，并引入了改进的SEAttention模块，以期提高模型的收敛速度和对面部细节的关注程度. 在保持VGG19深层特征提取能力的基础上，通过特定设计的卷积层和跳跃连接，实现了对特征的高效融合与优化. 经过改进的VGG19模型，不仅能更好地提取面部特征，还能在保证准确率的前提下，降低模型参数，提高运算效率. 为了验证改进模型的效果，利用FER2013数据集和CK+两个数据集对本文提出的模型进行了测试. 实验结果显示，改进后的VGG19网络在表情识别的准确率上分别取得了1.58%和4.04%的提升. 这一结果充分证明了本文提出的方法在解决传统面部识别问题方面的优越性，也为面部识别技术的进一步发展提供了新的思路.,"面部表情识别,深度学习,卷积神经网络,情感分类,VGG19"
机器学习助力发现高效缓蚀剂分子,"龚海燕,马菱薇,张达威",缓蚀剂是用于防止金属材料腐蚀的化学物质，其有效性对于延长设备寿命、降低维护成本至关重要. 然而，传统的缓蚀剂分子筛选方法，如失重测量和电化学测试，通常需要大量实验和大量时间，成本高昂. 基于机器学习技术可以分析已知缓蚀剂分子数据，从而学习和预测新分子的缓蚀性能. 该方法可以提高筛选效率，揭示传统方法可能忽略的分子结构和性质，但其局限性也不容忽视. 首先，缓蚀剂分子筛选模型的化合物搜索空间有限. 其次，模型在实际应用中面临着与计算资源和时间成本相关的挑战. 在讨论了机器学习技术的应用和局限性之后，本文介绍了分子生成技术在发现新的高效缓蚀剂分子方面的应用以及挑战. 例如，生成模型需要大量高质量数据进行训练，生成的结果需要实验验证. 此外，生成模型在生成新分子时必须考虑分子稳定性、可合成性、环境影响等多种因素，使得模型的设计和优化更加复杂. 总体而言，机器学习技术在缓蚀剂分子研究中具有广阔的应用前景，但也面临着重大挑战. 通过不断优化机器学习算法并结合实验验证，有望在未来实现缓蚀剂分子的高效高精度发现，从而为材料科学和工业应用带来突破.,"机器学习,深度学习,缓蚀剂分子,分子筛选,分子生成"
DU-Net：一种协同优化模型的小样本脑血管分割方法,"张灿,陈铎友,王周,陈云青,陈诚,肖若秀","脑血管分割是脑血管疾病筛选、病理发展追踪和精准手术治疗的重要基础. 受限于患者隐私保护和脑血管复杂的手工标注，现有的脑血管公开数据集样本少、人工标注信息不足，从而限制发展高性能的脑血管分割方法. 为解决上述问题，本文提出了一种粗–精分割的Double U-Net协同优化模型(DU-Net)，旨在提高小样本相位对比磁共振血管成像(Phase contrast magnetic resonance angiography, PC-MRA)脑血管分割数据集下的性能表现. 首先，DU-Net的两部分路径骨干由3D U-Net构成，其中粗分割路径采用低通道数量的轻量卷积核，从而减少协同训练负担，实现脑血管拓扑特征的初步学习. 接着，将拓扑形态传递到精分割路径，从而为模型补偿泛化特征. 此外，在精分割路径的跳跃连接部分引入了压缩激励(Squeeze and excitation, SE)模块，为目标区域赋予更高的学习权重. 实验结果显示，DU-Net在小样本脑血管数据集上的查准率、查全率、杰卡德系数和Dice系数分别是78.29%、67.91%、57.81%和72.59%，综合表现最优. 结果表明，DU-Net具备更强的特征学习与识别能力，能够在小样本数据集上实现精确脑血管分割.","脑血管分割,深度学习,相位对比磁共振血管成像,小样本数据集,协同优化,压缩激励模块"
深度神经网络模型压缩综述,"李江昀,赵义凯,薛卓尔,蔡铮,李擎",深度神经网络近年在计算机视觉以及自然语言处理等任务上不断刷新已有最好性能，已经成为最受关注的研究方向.深度网络模型虽然性能显著，但由于参数量巨大、存储成本与计算成本过高，仍然难以部署到硬件受限的嵌入式或移动设备上.相关研究发现，基于卷积神经网络的深度模型本身存在参数冗余，模型中存在对最终结果无用的参数，这为深度网络模型压缩提供了理论支持.因此，如何在保证模型精度条件下降低模型大小已经成为热点问题.本文对国内外学者近几年在模型压缩方面所取得的成果与进展进行了分类归纳并对其优缺点进行评价，并探讨了模型压缩目前存在的问题以及未来的发展方向.,"深度神经网络,模型压缩,深度学习,网络剪枝,网络蒸馏"
基于天气退化感知的动态自适应图像复原方法,"陈雅芝, 张莹莹, 杨红, 卿粼波, 何小海, 陈洪刚","在雨、雾、雪和低照度等复杂天气条件下，图像和视频质量显著降低，进而影响视觉感知效果和视觉信息利用价值。因此，如何有效去除复杂天气对图像质量的影响一直是研究的热点问题。为了解决这些问题，本文提出了基于天气退化感知的一体化动态自适应图像复原网络DegRestorNet。该方法通过天气退化感知机制生成包含多维度信息的退化感知场景描述符，进一步引导模型基于动态卷积自适应调整复原策略，从而动态适应雨、雾、雪、低照度等不同类型及程度的质量退化，实现复杂天气条件下的一体化图像复原。首先，设计了面向退化感知的场景描述符生成器（Degradation-Aware Scene Descriptor Generator, DASDG），包含退化类型识别和退化程度评估模块，用以生成退化感知场景描述符。其次，设计了基于动态卷积的退化自适应复原网络（Dynamic Convolution-based Degradation-Adaptive Restoration Network, DARN），在U-Net结构基础上引入了退化感知动态卷积Transformer模块，并根据退化感知场景描述符动态调整参数，从而适配不同天气图像退化特性，实现对复杂天气退化图像的自适应复原。最后，本文在以RAISE数据库为基础、采用CDD图像集生成策略构建的复杂天气数据集DSD上进行了全面的实验评估。与OKNet、RestorNet等主流算法的主客观对比实验表明，在雨、雾、雪、低照度等多种天气导致的退化图像复原任务中，DegRestorNet的综合表现更优。消融实验结果进一步验证了所设计的场景描述符生成器和退化自适应复原网络的有效性，显示了该方法的优越性。","自适应图像复原,复杂天气,退化感知,动态卷积,深度学习"
基于领域词典与CRF双层标注的中文电子病历实体识别,"龚乐君,张知菲",医疗实体识别是电子病历文本信息抽取的基本任务。针对中文电子病历文本复合实体较多、实体长度较长、句子成分缺失严重、实体边界不清的语言特点以及标注语料难以获取的现状，提出了一种基于领域词典和条件随机场（CRF）的双层标注模型。该模型通过对外部资源的统计分析构建医疗领域词典，再结合条件随机场，进行了两次不同粒度的标注，将领域词典识别的准确性和机器学习的自动性融为一体，从中文电子病历文本中识别出疾病、症状、药品、操作四类医疗实体。该模型在测试数据中的宏精确率为96.7%、宏召回率为97.7%、宏F1值为97.2%。同时对比分析了采用注意力机制的深度神经网络的识别效果，因受到领域数据集大小的限制，在该测试数据集中后者表现不佳。实验结果表明了该双层标注模型对中文医疗实体识别的高效性。,"中文电子病历,医疗实体识别,领域词典,条件随机场,注意力机制"
DiaRAG：面向糖尿病领域的智能问答系统,"杨涛,欧阳纯萍,余颖,万亚平","为了满足糖尿病领域对智能问答系统高效性与专业性的双重需求，本文设计并实现了融合知识图谱与检索增强生成（Retrieval augmented generation, RAG）的糖尿病领域智能问答系统——DiaRAG. 该系统提出了一种自动提示生成方法（Auto prompt generation, APG），能够自动生成适用于糖尿病领域的提示模板，用于提取糖尿病知识图谱并构建检索知识库. 同时，通过提示学习对病患提出的问句进行校正，有效解决了复杂问句中的语义和语法偏误问题. 此外，本文设计了微调排序模型（Fine-tuned reranker），对糖尿病知识图谱的社区摘要进行二次过滤，以确保检索结果与病患提问意图的高度契合. DiaRAG系统通过深度融合知识图谱与大语言模型（Large language model, LLM），充分利用外部知识库，从而显著提升了糖尿病领域知识的问答能力. 实验结果表明，DiaRAG在问答准确性、社区摘要相关性等方面均显著优于现有系统，为糖尿病个性化知识服务提供了创新性解决方案.","糖尿病,智能问答系统,知识图谱,检索增强生成,提示工程,微调排序模型"
一种基于多任务学习的肋骨骨折愈合时期预测模型,"卢琪, 张雄(通讯作者)",肋骨骨折是胸部创伤中常见的损伤类型，通常通过胸部CT影像进行诊断。然而，由于骨折区域通常较小，形态多变且与周围组织对比度低，导致骨折类型分类和愈合时期预测在临床和智能分析中均面临巨大挑战。针对上述问题，本文围绕肋骨骨折的类型分类与愈合时期预测展开研究，提出一种基于多任务学习的肋骨骨折愈合时期预测模型。具体来说，首先，在骨折类型分类方面，本文设计了一种三分支分层多尺度融合模型，充分融合不同层次和尺度的特征信息，以提升模型对细微骨折差异的识别能力。其次，在骨折愈合时期预测方面，针对样本数量少、分布不均等问题，构建了基于深度可分离卷积的扩展长短期记忆网络，该网络不仅增强了图像空间特征的提取能力，同时也提高了对时间序列中长期依赖信息的建模能力，实现了空间与时间双维度的特征整合。实验结果表明，该方法具有良好的分类性能，准确率与召回率均达到0.95以上，而且在预测不同愈合阶段时表现出较高的稳定性和准确性，预测的准确率与召回率均达到0.91以上。,"多任务学习网络,愈合时间预测,肋骨骨折分类,多尺度特征融合,星网络"
